temp_3 (°C),SR (W/mt2),PM2.5 (µg/m³),WS (m/s),PM10 (µg/m³),NO2 (µg/m³),AC CURRENT-1 (A),AC VOLTAGE-3 (V),metric_date
36.83,0,59.73,4.2,96.27,14.59,10,100,2025-04-22 20:30:00
35.83,0,59.73,3.9,96.27,14.59,10,100,2025-04-22 23:30:00
33.52,0,59.73,3.38,96.27,14.59,10,100,2025-04-23 02:30:00
29.88,0,59.73,3.21,96.27,14.59,10,100,2025-04-23 05:30:00
32.11,0,59.73,3.69,96.27,14.59,10,100,2025-04-23 08:30:00
38.35,0,59.73,3.29,96.27,14.59,10,100,2025-04-23 11:30:00
40.78,0,59.73,4.18,96.27,14.59,10,100,2025-04-23 14:30:00
40.39,0,59.73,5.11,96.27,14.59,10,100,2025-04-23 17:30:00
37.8,0,59.73,3.64,96.27,14.59,10,100,2025-04-23 20:30:00
34.84,0,59.73,2.29,96.27,14.59,10,100,2025-04-23 23:30:00
32.25,0,59.73,3.19,96.27,14.59,10,100,2025-04-24 02:30:00
30.0,0,59.73,2.84,96.27,14.59,10,100,2025-04-24 05:30:00
32.58,0,59.73,3.1,96.27,14.59,10,100,2025-04-24 08:30:00
38.94,0,59.73,3.55,96.27,14.59,10,100,2025-04-24 11:30:00
41.88,0,59.73,3.55,96.27,14.59,10,100,2025-04-24 14:30:00
41.59,0,59.73,5.68,96.27,14.59,10,100,2025-04-24 17:30:00
38.9,0,59.73,4.01,96.27,14.59,10,100,2025-04-24 20:30:00
36.06,0,59.73,2.78,96.27,14.59,10,100,2025-04-24 23:30:00
33.45,0,59.73,3.65,96.27,14.59,10,100,2025-04-25 02:30:00
31.92,0,59.73,3.83,96.27,14.59,10,100,2025-04-25 05:30:00
34.38,0,59.73,2.97,96.27,14.59,10,100,2025-04-25 08:30:00
40.19,0,59.73,3.46,96.27,14.59,10,100,2025-04-25 11:30:00
42.67,0,59.73,3.62,96.27,14.59,10,100,2025-04-25 14:30:00
42.12,0,59.73,5.27,96.27,14.59,10,100,2025-04-25 17:30:00
39.24,0,59.73,2.04,96.27,14.59,10,100,2025-04-25 20:30:00
36.53,0,59.73,2.75,96.27,14.59,10,100,2025-04-25 23:30:00
34.61,0,59.73,2.56,96.27,14.59,10,100,2025-04-26 02:30:00
32.44,0,59.73,1.29,96.27,14.59,10,100,2025-04-26 05:30:00
34.08,0,59.73,2.95,96.27,14.59,10,100,2025-04-26 08:30:00
39.77,0,59.73,1.53,96.27,14.59,10,100,2025-04-26 11:30:00
42.84,0,59.73,2.09,96.27,14.59,10,100,2025-04-26 14:30:00
42.74,0,59.73,2.33,96.27,14.59,10,100,2025-04-26 17:30:00
38.11,0,59.73,3.75,96.27,14.59,10,100,2025-04-26 20:30:00
36.46,0,59.73,5.25,96.27,14.59,10,100,2025-04-26 23:30:00
35.11,0,59.73,3.81,96.27,14.59,10,100,2025-04-27 02:30:00
33.6,0,59.73,1.93,96.27,14.59,10,100,2025-04-27 05:30:00
35.78,0,59.73,3.59,96.27,14.59,10,100,2025-04-27 08:30:00
40.81,0,59.73,2.64,96.27,14.59,10,100,2025-04-27 11:30:00
43.04,0,59.73,1.79,96.27,14.59,10,100,2025-04-27 14:30:00
42.84,0,59.73,2.67,96.27,14.59,10,100,2025-04-27 17:30:00
